code,name,themes,theme_count
046120,오르비텍,원자력(SMR),1
014940,오리엔탈정공,조선,1
271560,오리온,K-푸드,1
138080,오이솔루션,5G/6G/통신장비,1
226950,올릭스,비만치료제(GLP-1),1
109080,옵티시스,5G/6G/통신장비,1
096250,와이즈넛,AI(인공지능),1
122870,와이지엔터테인먼트,엔터테인먼트/K-콘텐츠,1
316140,우리금융지주,금융(은행/증권/보험),1
032820,우리기술,원자력(SMR),1
046970,우리로,양자컴퓨터,1
017370,우신시스템,2차전지,1
105840,우진,원자력(SMR),1
457550,우진엔텍,원자력(SMR),1
240810,원익IPS,반도체,1
217820,원익피앤이,2차전지,1
030530,원익홀딩스,로봇/피지컬AI,1
053580,웹케시,클라우드/데이터센터,1
036200,유니셈,AI 데이터센터/전력망,1
077500,유니퀘스트,자율주행,1
086390,유니테스트,반도체,1
264450,유비쿼스,5G/6G/통신장비,1
388720,유일로보틱스,로봇/피지컬AI,1
056080,유진로봇,로봇/피지컬AI,1
084370,유진테크,반도체,1
000100,유한양행,"바이오/제약, 비만치료제(GLP-1)",2
264850,이랜시스,로봇/피지컬AI,1
054210,이랜텍,2차전지,1
007660,이수페타시스,AI서버 PCB/전자부품,1
039030,이오테크닉스,반도체,1
389470,인벤티지랩,비만치료제(GLP-1),1
100030,인지소프트,클라우드/데이터센터,1
103590,일진전기,"AI 데이터센터/전력망, 전력기기",2
094820,일진파워,원자력(SMR),1
079370,제우스,반도체,1
185750,종근당,바이오/제약,1
036930,주성엔지니어링,반도체,1
053050,지에스이,가스발전/유틸리티,1
388050,지투파워,원자력(SMR),1
278280,천보,2차전지,1
094360,칩스앤미디어,자율주행,1
115500,케이씨에스,양자컴퓨터,1
093320,케이아이엔엑스,클라우드/데이터센터,1
093640,케이알엠,반도체,1
073010,케이에스피,우주항공,1
032500,케이엠더블유,5G/6G/통신장비,1
274090,켄코아에어로스페이스,우주항공,1
220260,켐트로스,2차전지,1
402030,코난테크놀로지,AI(인공지능),1
007810,코리아써키트,AI서버 PCB/전자부품,1
123410,코리아에프티,자율주행,1
192820,코스맥스,화장품/K-뷰티,1
005070,코스모신소재,2차전지,1
102940,코오롱생명과학,화장품/K-뷰티,1
120110,코오롱인더,ESS/BESS,1
056360,코위버,양자컴퓨터,1
060280,큐렉소,로봇/피지컬AI,1
115180,큐리언트,바이오/제약,1
466100,클로봇,로봇/피지컬AI,1
237880,클리오,화장품/K-뷰티,1
360070,탑머티리얼,2차전지,1
023160,태광,조선,1
089030,테크윙,반도체,1
054450,텔레칩스,자율주행,1
117730,티로보틱스,로봇/피지컬AI,1
064760,티씨케이,반도체,1
131290,티에스이,반도체,1
356860,티엘비,AI서버 PCB/전자부품,1
440110,파두,반도체,1
047310,파워로직스,2차전지,1
368770,파이버프로,방산,1
170790,파이오링크,사이버보안,1
140860,파크시스템스,반도체,1
010820,퍼스텍,방산,1
087010,펩트론,비만치료제(GLP-1),1
003670,포스코퓨처엠,2차전지,1
017810,풀무원,K-푸드,1
103140,풍산,"방산, 금(원자재)",2
005810,풍산홀딩스,방산,1
370090,퓨런티어,자율주행,1
300080,플리토,AI(인공지능),1
319660,피에스케이,반도체,1
031980,피에스케이홀딩스,반도체,1
137400,피엔티,2차전지,1
161580,필옵틱스,2차전지,1
086790,하나금융지주,금융(은행/증권/보험),1
299030,하나기술,2차전지,1
067310,하나마이크론,반도체,1
